#,Keyword,Source,Post Title,Post Link,Phone,Email,Price,Location,Scraped At
1,i need job,PROPERTYFINDER,فيلا للإيجار في حي النهضة – موقع مميز وسكن عائلي ه,https://www.propertyfinder.sa/en/plp/rent/villa-for-rent-makkah-al-mukarramah-jeddah-an-nahdah-51338970.html,,,"85,000 SAR",Jeddah,2026-07-13 16:55:46
2,i need job,PROPERTYFINDER,فيلا للإيجار في حي النهضة – موقع مميز وسكن عائلي ه,https://www.propertyfinder.sa/en/plp/rent/villa-for-rent-makkah-al-mukarramah-jeddah-an-nahdah-51338970.html,,,"85,000 SAR",Jeddah,2026-07-13 16:55:46
3,i need job,PROPERTYFINDER,فيلا للإيجار في حي النهضة – موقع مميز وسكن عائلي ه,https://www.propertyfinder.sa/en/plp/rent/villa-for-rent-makkah-al-mukarramah-jeddah-an-nahdah-51338970.html,,,"85,000 SAR",Jeddah,2026-07-13 16:55:46
4,i need job,PROPERTYFINDER,فيلا للإيجار في حي النهضة – موقع مميز وسكن عائلي ه,https://www.propertyfinder.sa/en/plp/rent/villa-for-rent-makkah-al-mukarramah-jeddah-an-nahdah-51338970.html,,,"85,000 SAR",Jeddah,2026-07-13 16:55:46
5,i need job,PROPERTYFINDER,,https://www.propertyfinder.sa/en/plp/rent/villa-for-rent-makkah-al-mukarramah-jeddah-an-nahdah-51338970.html,,,14,,2026-07-13 16:55:46
6,i need job,PROPERTYFINDER,,https://www.propertyfinder.sa/en/plp/rent/villa-for-rent-makkah-al-mukarramah-jeddah-an-nahdah-51338970.html,,,14,,2026-07-13 16:55:46
7,i need job,PROPERTYFINDER,فيلا للإيجار في حي النهضة – موقع مميز وسكن عائلي ه,,,,"85,000 SAR",Jeddah,2026-07-13 16:55:46
8,i need job,PROPERTYFINDER,Flow Granada – A Premier Family-Friendly Compound,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-ashuhada-2PuKJTqvjRg.html,,,"221,000 SAR",Riyadh,2026-07-13 16:55:46
9,i need job,PROPERTYFINDER,Flow Granada – A Premier Family-Friendly Compound,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-ashuhada-2PuKJTqvjRg.html,,,"221,000 SAR",Riyadh,2026-07-13 16:55:46
10,i need job,PROPERTYFINDER,Flow Granada – A Premier Family-Friendly Compound,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-ashuhada-2PuKJTqvjRg.html,,,"221,000 SAR",Riyadh,2026-07-13 16:55:46
11,i need job,PROPERTYFINDER,,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-ashuhada-2PuKJTqvjRg.html,,,20,,2026-07-13 16:55:46
12,i need job,PROPERTYFINDER,,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-ashuhada-2PuKJTqvjRg.html,,,20,,2026-07-13 16:55:46
13,i need job,PROPERTYFINDER,Flow Granada – A Premier Family-Friendly Compound,,,,"221,000 SAR",Riyadh,2026-07-13 16:55:46
14,i need job,PROPERTYFINDER,Nuzul R296 – Furnished Apartment for Rent,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-irqah-51795117.html,,,"120,000 SAR",Riyadh,2026-07-13 16:55:46
15,i need job,PROPERTYFINDER,Nuzul R296 – Furnished Apartment for Rent,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-irqah-51795117.html,,,"120,000 SAR",Riyadh,2026-07-13 16:55:46
16,i need job,PROPERTYFINDER,Nuzul R296 – Furnished Apartment for Rent,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-irqah-51795117.html,,,"120,000 SAR",Riyadh,2026-07-13 16:55:46
17,i need job,PROPERTYFINDER,,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-irqah-51795117.html,,,16,,2026-07-13 16:55:46
18,i need job,PROPERTYFINDER,,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-irqah-51795117.html,,,16,,2026-07-13 16:55:46
19,i need job,PROPERTYFINDER,,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-irqah-51795117.html,,,,,2026-07-13 16:55:46
